"mzn","version","dzn","solver","timeout","n","mode","learning","solution","proof_of_opt","runtime","failures","restarts","propagations","propagators","peakDepth","nogoods","backjumps","nSolutions","unsat"
"toy.mzn","Spread","toy_13_14.dzn","Chuffed",1200000,13,"LB","True","298178","False","1199933","102634338","1072","763392262","4","702","102634338","67600943","1071","False"
"toy.mzn","Spread","toy_10_12.dzn","Chuffed",1200000,10,"LB-TL","True","126436","False","1199933","140671961","968","679915174","4","108","140671961","18361060","967","False"
"toy.mzn","Gini","toy_21_22.dzn","Chuffed",1200000,21,"LB-TL","True","4660","False","1199944","93741445","199","499099609","4","180","93741445","18274631","198","False"
"toy.mzn","Gini","toy_25_29.dzn","Chuffed",1200000,25,"Simp","True","1396","False","1199953","43538473","138","208400859","4","642","43538473","12152384","137","False"
"toy.mzn","Gini","toy_10_12.dzn","Chuffed",1200000,10,"Simp","True","1237","False","1199991","119331632","318","507662290","4","57","119331632","3571406","317","False"
"toy.mzn","Gini","toy_29_33.dzn","Chuffed",1200000,29,"LB","True","3225","False","1200183","34069374","325","348660500","4","317","34069374","70852886","324","False"
"toy.mzn","Gini","toy_34_38.dzn","Chuffed",1200000,34,"LB","True","3999","False","1199945","54805727","215","307909158","4","454","54805727","13652773","214","False"
"toy.mzn","Gini","toy_28_31.dzn","Chuffed",1200000,28,"LB-TL","True","4423","False","1199943","39404198","96","355705078","4","322","39404198","58315150","95","False"
"toy.mzn","Gini","toy_6_10.dzn","Chuffed",1200000,6,"Simp","True","870","True","143320","20051947","76","85148256","4","23","20051947","317399","75","False"
"toy.mzn","Spread","toy_6_7.dzn","Chuffed",1200000,6,"LB","True","3333","True","130","483","107","12962","4","22","483","1161","107","False"
"toy.mzn","Spread","toy_31_31.dzn","Chuffed",1200000,31,"LB","True","19589291","False","1199944","53459412","2146","444205454","4","325","53459412","51030376","2145","False"
"toy.mzn","Gini","toy_27_30.dzn","Chuffed",1200000,27,"LB-TL","True","4102","False","1199956","15331250","62","302487953","4","757","15331250","89968533","61","False"
"toy.mzn","Gini","toy_8_9.dzn","Chuffed",1200000,8,"Simp","True","640","False","1199926","144272928","114","606844466","4","41","144272928","3096290","113","False"
